Date,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-14
GM,29.790001,30.959999,29.480000,30.000000,32.380001,31.950001,30.170000,30.459999,31.180000
ETFC,54.400002,55.090000,54.599998,54.529999,51.889999,52.939999,52.139999,52.240002,53.000000
ANTM,272.109131,278.974640,276.015198,275.237976,266.260010,267.420013,260.839996,258.029999,265.600006
AME,101.832825,102.890884,99.706734,99.287506,96.812050,99.167725,97.930000,99.910004,101.389999
MCO,296.070007,304.489990,291.250000,282.470001,278.700012,288.410004,283.779999,284.940002,288.679993
URI,182.539993,184.580002,174.389999,176.429993,172.369995,175.889999,171.960007,174.630005,176.580002
CME,172.895493,171.830948,171.015106,168.756653,166.149994,168.009995,163.940002,163.210007,166.080002
PFG,42.880001,43.299999,42.520000,43.419998,42.090000,41.849998,40.770000,41.070000,41.320000
KSS,20.969999,21.200001,21.719999,22.250000,22.379999,22.030001,21.889999,21.330000,23.370001
MSCI,377.559998,378.589996,360.459991,348.179993,339.640015,348.690002,342.529999,339.250000,342.369995
